CWA  QUAD  DEVPORT  CTRLPORT  ICMID             TYPE      NAME                     PROD_ID       
637  Q14   5223     6216      2a000030c34ac32d  mdom      A_night_to_remember      mDOM_D143     
634  Q14   5220     6216      1200000fd3c2062d  degg      Whitsons_Grenadier       DEgg2021-3-008
632  Q14   5218     6216      b9000030c30e1b2d  mdom      Young_hearts_run_free    mDOM_D137     
627  Q14   5215     6208      5f000030c30b8c2d  acoustic  Kurt                     AM_01         
624  Q14   5212     6208      7e00000f18aec42d  degg      Southern_Fulmar          DEgg2020-1-030
622  Q14   5210     6208      3f00003009dd282d  mdom      Dont_Blame_Me            mDOM_M087     
937  Q20   5319     6312      18000030c315792d  mdom      Marechia                 mDOM_D167     
934  Q20   5316     6312      99000030c32b442d  degg      Microhyla_okinavensis    DEgg2021-3-122
932  Q20   5314     6312      ec00002c71e33d2d  mdom      Lilliputian_chop         mDOM_D207     
927  Q20   5311     6304      0400000f189a9e2d  degg      Rhacophorus_owstoni      DEgg2021-3-118
924  Q20   5308     6304      2200000f18b2412d  degg      Goniurosaurus_splendens  DEgg2021-3-142
922  Q20   5306     6304      8c000030c346d72d  mdom      Take_a_bite              mDOM_D221     
